index, path, x, y, id,Shape,Color, parent, child, type, size
31,7,253.0272102,-10.60699683,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,8,268.9852,-20.17660083,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,9,285.9538323,-29.98121851,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,10,300.6044181,-36.89170596,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,11,311.7789698,-41.05508005,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,12,324.3851843,-44.71878348,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,13,338.6850622,-47.75872202,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
31,14,346.552,-49.006,Mind to Schizophrenia is multiple personalities,Shape, Mind, Mind, Schizophrenia is multiple personalities, link, 
32,0,174.872,6.703,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,1,182.8157492,6.91113443,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,2,197.2803974,6.725613983,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,3,210.0631156,5.814022491,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,4,221.4221485,4.267937592,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,5,236.356198,0.959461182,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,6,253.6956487,-4.817843018,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,7,269.9887615,-11.48472339,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,8,287.3014934,-18.30855884,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,9,307.6998015,-24.55672827,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,10,326.2662442,-28.42435715,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,11,340.6841346,-30.44130728,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
32,12,348.602,-31.247,Mind to Shaving your hair makes it thicker,Shape, Mind, Mind, Shaving your hair makes it thicker, link, 
33,0,174.872,6.703,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,1,190.2841267,7.066220459,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,2,215.9852415,6.378835205,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,3,236.5632292,4.199072998,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,4,254.0673596,0.998203369,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,5,279.0428496,-4.686775391,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,6,308.6293015,-10.01835474,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
33,7,334.3306975,-12.59095874,Mind to Chemical Imbalance,Shape, Mind, Mind, Chemical Imbalance, link, 
